.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
GI-103_S80.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
GI-103_S80.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
GI-59_S79.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
GI-59_S79.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-104_S42.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-104_S42.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-111_S43.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-111_S43.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-114_S44.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-114_S44.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-121_S45.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-121_S45.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-124_S46.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-124_S46.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-125_S47.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-125_S47.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-14_S2.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-14_S2.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-15_S3.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-15_S3.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-16_S4.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-16_S4.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-17_S5.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-17_S5.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-25_S48.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-25_S48.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-26_S6.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-26_S6.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-27_S7.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-27_S7.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-28_S8.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-28_S8.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-29_S9.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-29_S9.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-30_S10.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-30_S10.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-31_S11.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-31_S11.R2	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-32_S12.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-32_S12.R2	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-33_S13.R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-33_S13.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-34_S14.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-34_S14.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-36_S15.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-36_S15.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-38_S16.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-38_S16.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-39_S17.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-39_S17.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-45_S18.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-45_S18.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-47_S19.R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-47_S19.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-51_S20.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-51_S20.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-52_S21.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-52_S21.R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-53_S22.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-53_S22.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-54_S23.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-54_S23.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-56_S24.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-56_S24.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-61_S25.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-61_S25.R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-62_S26.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-62_S26.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-63_S27.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-63_S27.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-64_S28.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-64_S28.R2	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-66_S29.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-66_S29.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-67_S30.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-67_S30.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-69_S31.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-69_S31.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-70_S32.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-70_S32.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-71_S33.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-71_S33.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-72_S34.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-72_S34.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-73_S35.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-73_S35.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-75_S36.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-75_S36.R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-79_S37.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-79_S37.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-7_S1.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-7_S1.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-80_S38.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-80_S38.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-85_S39.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-85_S39.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-86_S40.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-86_S40.R2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-88_S41.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Gl-88_S41.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
I10_S77.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
I10_S77.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
I111_S52.R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
I111_S52.R2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
