Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
Gl-114_S44.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.01509433962264151)	(232, 0.12075471698113209)	(237, 0.22641509433962265)	(242, 0.22641509433962265)	(247, 0.22641509433962265)	(252, 0.22641509433962265)	(257, 0.22641509433962265)	(262, 0.22641509433962265)	(267, 0.22641509433962265)	(272, 0.22641509433962265)	(277, 0.22641509433962265)	(282, 0.27169811320754716)	(287, 0.4679245283018868)	(290, 0.5283018867924528)
Gl-114_S44.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.01509433962264151)	(237, 0.1358490566037736)	(242, 0.3018867924528302)	(247, 0.3018867924528302)	(252, 0.3018867924528302)	(257, 0.3018867924528302)	(262, 0.3018867924528302)	(267, 0.3018867924528302)	(272, 0.3018867924528302)	(277, 0.3018867924528302)	(282, 0.3018867924528302)	(287, 0.3018867924528302)	(290, 0.3018867924528302)
Gl-14_S2.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.02506265664160401)	(237, 0.1670843776106934)	(242, 0.1670843776106934)	(247, 0.1670843776106934)	(252, 0.1670843776106934)	(257, 0.1670843776106934)	(262, 0.1670843776106934)	(267, 0.1670843776106934)	(272, 0.1670843776106934)	(277, 0.1670843776106934)	(282, 0.25898078529657476)	(287, 0.3258145363408521)	(290, 0.3341687552213868)
Gl-14_S2.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.01670843776106934)	(172, 0.04177109440267335)	(177, 0.04177109440267335)	(182, 0.04177109440267335)	(187, 0.04177109440267335)	(192, 0.04177109440267335)	(197, 0.04177109440267335)	(202, 0.04177109440267335)	(207, 0.04177109440267335)	(212, 0.04177109440267335)	(217, 0.04177109440267335)	(222, 0.0835421888053467)	(227, 0.0835421888053467)	(232, 0.0835421888053467)	(237, 0.0835421888053467)	(242, 0.0835421888053467)	(247, 0.0835421888053467)	(252, 0.0835421888053467)	(257, 0.0835421888053467)	(262, 0.0835421888053467)	(267, 0.0835421888053467)	(272, 0.0835421888053467)	(277, 0.0835421888053467)	(282, 0.1086048454469507)	(287, 0.1670843776106934)	(290, 0.1670843776106934)
Gl-14_S2.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.0)	(237, 0.0835421888053467)	(242, 0.20885547201336677)	(247, 0.20885547201336677)	(252, 0.20885547201336677)	(257, 0.20885547201336677)	(262, 0.20885547201336677)	(267, 0.20885547201336677)	(272, 0.20885547201336677)	(277, 0.20885547201336677)	(282, 0.20885547201336677)	(287, 0.20885547201336677)	(290, 0.20885547201336674)
Gl-15_S3.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.014894805436603983)	(22, 0.01861850679575498)	(27, 0.01861850679575498)	(32, 0.01861850679575498)	(37, 0.01861850679575498)	(42, 0.01861850679575498)	(47, 0.01861850679575498)	(52, 0.01861850679575498)	(57, 0.01861850679575498)	(62, 0.01861850679575498)	(67, 0.01861850679575498)	(72, 0.01861850679575498)	(77, 0.01861850679575498)	(82, 0.01861850679575498)	(87, 0.01861850679575498)	(92, 0.01861850679575498)	(97, 0.01861850679575498)	(102, 0.01861850679575498)	(107, 0.01861850679575498)	(112, 0.01861850679575498)	(117, 0.01861850679575498)	(122, 0.022342208154905972)	(127, 0.03723701359150996)	(132, 0.03723701359150996)	(137, 0.14150065164773784)	(142, 0.16756656116179483)	(147, 0.16756656116179483)	(152, 0.16756656116179483)	(157, 0.16756656116179483)	(162, 0.16756656116179483)	(167, 0.16756656116179483)	(172, 0.16756656116179483)	(177, 0.16756656116179483)	(182, 0.16756656116179483)	(187, 0.16756656116179483)	(192, 0.16756656116179483)	(197, 0.16756656116179483)	(202, 0.16756656116179483)	(207, 0.17873766523924783)	(212, 0.2048035747533048)	(217, 0.2048035747533048)	(222, 0.2048035747533048)	(227, 0.2048035747533048)	(232, 0.21969838018990875)	(237, 0.24948799106311675)	(242, 0.26065909514056973)	(247, 0.26065909514056973)	(252, 0.26065909514056973)	(257, 0.26065909514056973)	(262, 0.26065909514056973)	(267, 0.26065909514056973)	(272, 0.26065909514056973)	(277, 0.27183019921802276)	(282, 0.35375162911934466)	(287, 0.4617389685347236)	(290, 0.4654626698938745)
Gl-15_S3.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.011171104077452986)	(57, 0.01861850679575498)	(62, 0.01861850679575498)	(67, 0.022342208154905972)	(72, 0.03723701359150996)	(77, 0.06330292310556693)	(82, 0.08192142990132192)	(87, 0.0930925339787749)	(92, 0.1005399366970769)	(97, 0.13032954757028486)	(102, 0.13032954757028486)	(107, 0.13032954757028486)	(112, 0.13032954757028486)	(117, 0.13405324892943588)	(122, 0.14894805436603983)	(127, 0.14894805436603983)	(132, 0.16756656116179483)	(137, 0.41705455222491156)	(142, 0.4654626698938745)	(147, 0.4654626698938745)	(152, 0.4654626698938745)	(157, 0.4654626698938745)	(162, 0.4654626698938745)	(167, 0.4654626698938745)	(172, 0.4654626698938745)	(177, 0.4654626698938745)	(182, 0.4654626698938745)	(187, 0.4654626698938745)	(192, 0.4654626698938745)	(197, 0.4654626698938745)	(202, 0.4654626698938745)	(207, 0.4654626698938745)	(212, 0.4654626698938745)	(217, 0.4654626698938745)	(222, 0.4654626698938745)	(227, 0.4654626698938745)	(232, 0.4654626698938745)	(237, 0.4915285794079315)	(242, 0.5287655929994415)	(247, 0.5771737106684044)	(252, 0.5808974120275554)	(257, 0.5957922174641593)	(262, 0.5995159188233103)	(267, 0.6144107242599144)	(272, 0.6293055296965184)	(277, 0.6330292310556693)	(282, 0.6330292310556693)	(287, 0.6367529324148202)	(290, 0.6516477378514243)
Gl-16_S4.R1 - polya	(1, 0.050200803212851405)	(2, 0.050200803212851405)	(3, 0.050200803212851405)	(4, 0.050200803212851405)	(5, 0.050200803212851405)	(6, 0.050200803212851405)	(7, 0.050200803212851405)	(8, 0.050200803212851405)	(9, 0.050200803212851405)	(12, 0.050200803212851405)	(17, 0.050200803212851405)	(22, 0.050200803212851405)	(27, 0.050200803212851405)	(32, 0.050200803212851405)	(37, 0.050200803212851405)	(42, 0.050200803212851405)	(47, 0.050200803212851405)	(52, 0.050200803212851405)	(57, 0.050200803212851405)	(62, 0.050200803212851405)	(67, 0.050200803212851405)	(72, 0.050200803212851405)	(77, 0.050200803212851405)	(82, 0.050200803212851405)	(87, 0.050200803212851405)	(92, 0.050200803212851405)	(97, 0.050200803212851405)	(102, 0.050200803212851405)	(107, 0.050200803212851405)	(112, 0.050200803212851405)	(117, 0.050200803212851405)	(122, 0.050200803212851405)	(127, 0.050200803212851405)	(132, 0.050200803212851405)	(137, 0.050200803212851405)	(142, 0.050200803212851405)	(147, 0.050200803212851405)	(152, 0.050200803212851405)	(157, 0.050200803212851405)	(162, 0.050200803212851405)	(167, 0.050200803212851405)	(172, 0.050200803212851405)	(177, 0.050200803212851405)	(182, 0.050200803212851405)	(187, 0.050200803212851405)	(192, 0.050200803212851405)	(197, 0.050200803212851405)	(202, 0.050200803212851405)	(207, 0.050200803212851405)	(212, 0.050200803212851405)	(217, 0.050200803212851405)	(222, 0.050200803212851405)	(227, 0.050200803212851405)	(232, 0.050200803212851405)	(237, 0.050200803212851405)	(242, 0.050200803212851405)	(247, 0.050200803212851405)	(252, 0.050200803212851405)	(257, 0.050200803212851405)	(262, 0.050200803212851405)	(267, 0.050200803212851405)	(272, 0.050200803212851405)	(277, 0.050200803212851405)	(282, 0.06024096385542168)	(287, 0.10040160642570281)	(290, 0.10040160642570281)
Gl-16_S4.R2 - polya	(1, 0.050200803212851405)	(2, 0.050200803212851405)	(3, 0.050200803212851405)	(4, 0.050200803212851405)	(5, 0.050200803212851405)	(6, 0.050200803212851405)	(7, 0.050200803212851405)	(8, 0.050200803212851405)	(9, 0.050200803212851405)	(12, 0.050200803212851405)	(17, 0.050200803212851405)	(22, 0.050200803212851405)	(27, 0.050200803212851405)	(32, 0.050200803212851405)	(37, 0.050200803212851405)	(42, 0.050200803212851405)	(47, 0.050200803212851405)	(52, 0.050200803212851405)	(57, 0.050200803212851405)	(62, 0.050200803212851405)	(67, 0.050200803212851405)	(72, 0.050200803212851405)	(77, 0.050200803212851405)	(82, 0.050200803212851405)	(87, 0.050200803212851405)	(92, 0.050200803212851405)	(97, 0.050200803212851405)	(102, 0.050200803212851405)	(107, 0.050200803212851405)	(112, 0.050200803212851405)	(117, 0.050200803212851405)	(122, 0.050200803212851405)	(127, 0.050200803212851405)	(132, 0.050200803212851405)	(137, 0.050200803212851405)	(142, 0.050200803212851405)	(147, 0.050200803212851405)	(152, 0.050200803212851405)	(157, 0.050200803212851405)	(162, 0.050200803212851405)	(167, 0.050200803212851405)	(172, 0.050200803212851405)	(177, 0.050200803212851405)	(182, 0.050200803212851405)	(187, 0.050200803212851405)	(192, 0.050200803212851405)	(197, 0.050200803212851405)	(202, 0.050200803212851405)	(207, 0.09036144578313254)	(212, 0.10040160642570281)	(217, 0.10040160642570281)	(222, 0.10040160642570281)	(227, 0.10040160642570281)	(232, 0.10040160642570281)	(237, 0.13052208835341364)	(242, 0.20080321285140562)	(247, 0.20080321285140562)	(252, 0.20080321285140562)	(257, 0.20080321285140562)	(262, 0.20080321285140562)	(267, 0.20080321285140562)	(272, 0.20080321285140562)	(277, 0.20080321285140562)	(282, 0.20080321285140562)	(287, 0.20080321285140562)	(290, 0.20080321285140562)
Gl-25_S48.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.0)	(237, 0.0)	(242, 0.046875)	(247, 0.078125)	(252, 0.078125)	(257, 0.078125)	(262, 0.078125)	(267, 0.15625)	(272, 0.15625)	(277, 0.15625)	(282, 0.15625)	(287, 0.15625)	(290, 0.15625)
