Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
GI-103_S80.R1	6.234085893736207	79.81666949584114
GI-103_S80.R2	6.768799864199626	73.47224579867596
GI-59_S79.R1	39.22477152169745	51.9971879593532
GI-59_S79.R2	36.04844379114207	49.92969898383077
Gl-104_S42.R1	6.489706899303155	78.51481461779882
Gl-104_S42.R2	5.8460556412575135	72.11021862865046
Gl-111_S43.R1	8.54320987654321	65.28395061728396
Gl-111_S43.R2	10.049382716049383	60.44444444444446
Gl-114_S44.R1	33.509433962264154	58.716981132075475
Gl-114_S44.R2	41.9622641509434	49.8113207547169
Gl-121_S45.R1	10.734174865416744	76.21124930387967
Gl-121_S45.R2	9.128457397438277	70.39632448487097
Gl-124_S46.R1	11.598520155671936	78.31643684235817
Gl-124_S46.R2	9.955316388795463	71.63311391918512
Gl-125_S47.R1	10.834934606086904	77.56151986611293
Gl-125_S47.R2	10.783280646294346	70.84237277629701
Gl-14_S2.R1	13.366750208855471	56.72514619883025
Gl-14_S2.R2	14.995822890559731	51.62907268170414
Gl-15_S3.R1	5.064233848445355	52.020107987339365
Gl-15_S3.R2	5.343511450381679	49.26456898156766
Gl-16_S4.R1	19.779116465863453	54.969879518072474
Gl-16_S4.R2	22.13855421686747	49.849397590361654
Gl-17_S5.R1	25.409153952843273	57.55894590846066
Gl-17_S5.R2	20.249653259361995	56.86546463245499
Gl-25_S48.R1	21.171875	59.375
Gl-25_S48.R2	20.3125	56.875
Gl-26_S6.R1	21.984868713840676	60.03560302625723
Gl-26_S6.R2	25.456163773920782	54.82866043613713
Gl-27_S7.R1	29.797730636408488	50.37000493339906
Gl-27_S7.R2	35.6684755796744	42.624568327577585
Gl-28_S8.R1	10.083226632522408	68.37387964148526
Gl-28_S8.R2	12.227912932138283	60.91549295774651
Gl-29_S9.R1	23.492723492723496	52.80665280665259
Gl-29_S9.R2	27.546777546777545	47.713097713097554
Gl-30_S10.R1	22.57438551099612	50.194049159120624
Gl-30_S10.R2	25.937904269081503	43.07891332470918
Gl-31_S11.R1	9.730225248821373	74.14876898899948
Gl-31_S11.R2	6.796752226296491	69.14614981665798
Gl-32_S12.R1	11.026478055857817	71.96227783823005
Gl-32_S12.R2	10.700036271309395	63.65614798694241
Gl-33_S13.R1	27.710027100271002	49.05149051490501
Gl-33_S13.R2	30.826558265582655	42.886178861788444
Gl-34_S14.R1	22.77564921243082	57.30097914005965
Gl-34_S14.R2	24.137931034482758	54.704129416773156
Gl-36_S15.R1	21.581548599670512	61.94398682042835
Gl-36_S15.R2	25.370675453047774	57.056562328390946
Gl-38_S16.R1	8.635182637933669	76.53981354118903
Gl-38_S16.R2	9.81201283814764	70.53339446736973
Gl-39_S17.R1	24.78134110787172	75.21865889212859
Gl-39_S17.R2	28.134110787172013	71.86588921282831
Gl-45_S18.R1	30	52.307692307692335
Gl-45_S18.R2	35.86538461538461	45.769230769230745
Gl-47_S19.R1	37.06189410887398	54.51155853840432
Gl-47_S19.R2	45.26472781506339	45.26472781506343
Gl-51_S20.R1	19.901315789473685	71.7105263157894
Gl-51_S20.R2	19.024122807017545	67.59868421052624
Gl-52_S21.R1	12.83043197936815	75.1128304319794
Gl-52_S21.R2	13.088330109606705	66.58070062325378
Gl-53_S22.R1	30.151975683890576	62.431610942249215
Gl-53_S22.R2	33.61702127659574	55.987841945288714
Gl-54_S23.R1	17.470238095238095	66.87499999999997
Gl-54_S23.R2	15.744047619047619	65.35714285714286
Gl-56_S24.R1	10.099901196618728	75.71632451421664
Gl-56_S24.R2	8.66176309144802	71.91788341201008
Gl-61_S25.R1	11.082375478927203	74.95210727969345
Gl-61_S25.R2	9.243295019157088	69.12835249042143
Gl-62_S26.R1	9.791263180546588	77.24338282763074
Gl-62_S26.R2	7.800731654831074	73.43447385409944
Gl-63_S27.R1	19.725013220518246	64.35748281332637
Gl-63_S27.R2	21.364357482813325	58.38180856689595
Gl-64_S28.R1	11.094961240310077	77.20445736434107
Gl-64_S28.R2	12.669573643410853	70.17926356589147
Gl-66_S29.R1	5.861691451509899	78.99370495392753
Gl-66_S29.R2	5.624486816896269	73.08639722653045
Gl-67_S30.R1	5.267568538249731	65.31784987429668
Gl-67_S30.R2	4.716868191069077	60.09816832275832
Gl-69_S31.R1	10.318173647312602	77.12265564144033
Gl-69_S31.R2	10.743603571214573	69.75852357840483
Gl-70_S32.R1	8.653112517391499	79.54310847807554
Gl-70_S32.R2	10.376554014631301	69.39544903729627
Gl-71_S33.R1	4.569009561345887	82.11809356981246
Gl-71_S33.R2	5.926574702576454	73.70994817896508
Gl-72_S34.R1	9.751283063560996	78.10896170548757
Gl-72_S34.R2	9.775957362810896	69.96150809317011
Gl-73_S35.R1	9.253908905506458	79.38477226376617
Gl-73_S35.R2	10.541298436437797	70.40278721957851
Gl-75_S36.R1	25.57924003707136	64.4561150585247
Gl-75_S36.R2	22.963649469673566	61.02701403906222
Gl-79_S37.R1	11.038525963149079	74.37744276940259
Gl-79_S37.R2	9.363484087102178	69.94974874371853
Gl-7_S1.R1	9.509911894273127	78.5462555066079
Gl-7_S1.R2	9.245594713656388	71.5803964757709
Gl-80_S38.R1	10.182049110922947	77.85069150437478
Gl-80_S38.R2	10.383149872988993	70.55461473327688
Gl-85_S39.R1	39.71037762065026	50.64995214129125
Gl-85_S39.R2	36.838855096180566	47.01886559421989
Gl-86_S40.R1	11.678583588695949	65.67926455566933
Gl-86_S40.R2	14.368403132448076	58.4610146407901
Gl-88_S41.R1	10.642819196033292	71.44501505224017
Gl-88_S41.R2	9.358951655746415	65.06994864529848
I10_S77.R1	11.291296872821894	77.87277542865108
I10_S77.R2	8.791413038427583	73.09139909855492
I111_S52.R1	33.833858077016224	50.27044482118358
I111_S52.R2	28.642932106240416	46.250100912246715
I113_S59.R1	36.4198481681153	55.37242820992409
I113_S59.R2	33.73748487182308	52.43701177247224
I117_S53.R1	49.180712609344994	42.24023895882223
I117_S53.R2	44.672498399829315	40.123746532963516
I11_S78.R1	20.61005243637294	68.06283838513022
I11_S78.R2	17.93920791235026	63.24551306646201
I13_S67.R1	11.460521255509866	78.21495133568028
I13_S67.R2	9.780197023932786	72.68585628494513
I14_S68.R1	24.679322729604923	61.00564391995884
I14_S68.R2	26.988199076449458	55.05387378142622
I15_S69.R1	10.703375036368927	77.04393366307826
I15_S69.R2	9.248617980797206	71.5049461739889
I16_S70.R1	11.673306772908367	78.44621513944222
I16_S70.R2	12.855245683930944	70.50464807436919
I17_S71.R1	12.00885445489762	76.52185943552847
I17_S71.R2	9.297177642501383	70.84947426674043
I18_S72.R1	31.667174641877477	58.335873209387344
I18_S72.R2	28.649801889667785	55.806156659555015
I19_S73.R1	27.08628005657709	58.98161244695891
I19_S73.R2	18.387553041018386	61.10325318246104
I24_S49.R1	11.299794806481286	76.84497275879156
I24_S49.R2	8.522606665251539	72.52175758862246
I28_S74.R1	8.061460745106293	69.58535045253623
I28_S74.R2	5.683014102294254	65.37571037676275
I29_S75.R1	12.570375678165627	75.36083529532195
I29_S75.R2	8.900603951274439	71.50168901627599
I2_S60.R1	11.34089953762085	76.04035308953351
I2_S60.R2	9.35687263556116	71.10550651534261
I35_S50.R1	21.355754072517076	68.85619197757933
I35_S50.R2	19.866876861096515	62.83762480294274
I36_S51.R1	11.483739837398375	76.73647932131497
I36_S51.R2	8.642629904559914	72.43725698126543
I3_S61.R1	12.478208654553907	76.26777205284161
I3_S61.R2	9.576569945376361	72.49835354278852
I4_S62.R1	11.02378073357517	72.7529222087868
I4_S62.R2	11.688835147118096	66.1829907295445
I50_S54.R1	11.136574790956953	78.12325797460512
I50_S54.R2	9.510684422421804	71.76834933415914
I51_S55.R1	35.55372807017544	52.357456140350834
I51_S55.R2	28.248355263157894	51.52138157894733
I52_S56.R1	11.316997434858918	77.82840556230592
I52_S56.R2	8.684352639395167	73.83556095585259
I56_S57.R1	10.687784768930355	77.68713386851815
I56_S57.R2	9.316554567151227	69.80256020828807
I57_S58.R1	11.513773736293127	74.80609788713558
I57_S58.R2	8.357849692431131	71.71703664081303
I5_S63.R1	10.898466033601169	77.71000730460192
I5_S63.R2	8.929875821767713	73.00949598246896
I6_S64.R1	12.06858511677751	71.68657610237335
I6_S64.R2	8.907239890314242	68.28568726951808
I7_S65.R1	29.982817869415808	52.66323024055009
I7_S65.R2	32.21649484536083	46.04810996563599
I8_S66.R1	9.983617919475773	80.08317056266146
I8_S66.R2	9.016445088526243	73.45787915065218
I9_S76.R1	35.83502366463827	58.75591615956738
I9_S76.R2	40.635564570655845	51.92697768762683
