Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
GI-103_S80.R1	(1, 33.88032592089628)	(2, 33.91737396027839)	(3, 33.946358852486846)	(4, 33.92352741470039)	(5, 33.956246817178744)	(6, 37.811407231369884)	(7, 37.85995586487863)	(8, 37.65107791546427)	(9, 37.55873366151757)	(12, 37.737328127652354)	(17, 37.79198777796639)	(22, 37.76721269733493)	(27, 37.776277372262776)	(32, 37.7463079273468)	(37, 37.70761330843659)	(42, 37.71913087760991)	(47, 37.726616873196406)	(52, 37.69637582753352)	(57, 37.68999320998133)	(62, 37.67823799015447)	(67, 37.281369886267186)	(72, 37.62100662026821)	(77, 37.652563232048884)	(82, 37.65639959259888)	(87, 37.557502970633166)	(92, 37.694084196231536)	(97, 37.63638601256154)	(102, 37.51984382957053)	(107, 37.47166015956544)	(112, 37.60898828721779)	(117, 37.58784586657613)	(122, 37.57421490409098)	(127, 37.43187913766762)	(132, 37.459947377355284)	(137, 37.235579697844166)	(142, 37.50892038703107)	(147, 37.30185028008827)	(152, 37.37771176370735)	(157, 37.167229672381595)	(162, 37.30941266338482)	(167, 37.20518587676116)	(172, 37.171091495501614)	(177, 37.24185197759294)	(182, 37.104786963164145)	(187, 37.125471057545404)	(192, 36.91673739602784)	(197, 36.82906127991852)	(202, 36.70374299779324)	(207, 36.711169580716344)	(212, 36.45617891699202)	(217, 36.66565948056357)	(222, 36.48627567475811)	(227, 35.83548633508742)	(232, 36.25878458665761)	(237, 36.00713800712951)	(242, 35.50977762688847)	(247, 34.750220675606855)	(252, 35.52968935664573)	(257, 35.0059242912918)	(262, 34.02874724155491)	(267, 33.91202682057376)	(272, 32.67094720760482)	(277, 32.097657443557964)	(282, 31.6361013892679)	(287, 33.272151722295845)	(292, 32.68349602035235)	(297, 30.037329835810617)	(300, 31.732011267773395)
GI-103_S80.R2	(1, 33.05937022576812)	(2, 33.438507893396704)	(3, 33.3116194194534)	(4, 33.46791716177219)	(5, 33.43944152096418)	(6, 36.87336615175692)	(7, 36.652520794432185)	(8, 36.075708708198945)	(9, 36.52699032422339)	(12, 36.84054489899847)	(17, 36.826727210999834)	(22, 36.71223900865728)	(27, 36.83775250381939)	(32, 36.70950602614157)	(37, 36.68907655746053)	(42, 36.52598030894585)	(47, 36.618392463079275)	(52, 36.60625530470209)	(57, 36.529519606178916)	(62, 36.29709726701749)	(67, 35.343685282634524)	(72, 36.02950263113223)	(77, 35.847207604820916)	(82, 35.90686640638262)	(87, 35.62986759463588)	(92, 36.29740281785775)	(97, 36.24269224240366)	(102, 35.716542182991)	(107, 35.70180784247157)	(112, 35.62716856221354)	(117, 35.786292649804786)	(122, 35.70234255644203)	(127, 35.20385333559667)	(132, 35.28950942115091)	(137, 35.27508063147174)	(142, 34.94471227295875)	(147, 34.802283143778645)	(152, 34.82483449329486)	(157, 34.29083347479205)	(162, 34.08589373620777)	(167, 34.03216771346122)	(172, 33.414038363605506)	(177, 33.516372432524186)	(182, 33.199236122899336)	(187, 32.491062637922255)	(192, 31.50931081310473)	(197, 31.24486504837888)	(202, 30.785690035647598)	(207, 30.14950772364624)	(212, 29.60282634527245)	(217, 30.35493125106094)	(222, 29.454668137837377)	(227, 26.578365303004585)	(232, 27.801290103547785)	(237, 27.92224579867594)	(242, 26.149652011543033)	(247, 26.983822780512646)	(252, 26.184179256492957)	(257, 23.51071974197929)	(262, 20.999940587336617)	(267, 22.16219657104057)	(272, 20.240375148531662)	(277, 19.578772704124937)	(282, 18.8265214868828)	(287, 19.939074220923523)	(292, 19.891383359390833)	(297, 20.981290876812313)	(300, 24.757032359565564)
GI-59_S79.R1	(1, 33.90164248737777)	(2, 33.90771393877421)	(3, 33.91976097654503)	(4, 33.91877037131719)	(5, 33.92937943375727)	(6, 37.77216079759698)	(7, 37.882309707931235)	(8, 37.63676743145651)	(9, 37.644340768198376)	(12, 37.81124177158561)	(17, 37.828062887454465)	(22, 37.771738991499966)	(27, 37.716674122835045)	(32, 37.614980507445516)	(37, 37.60360452482904)	(42, 37.62528280181505)	(47, 37.729385824758744)	(52, 37.78549881766473)	(57, 37.6995526298971)	(62, 37.69801878954432)	(67, 37.624260241579854)	(72, 37.61342110308685)	(77, 37.65121748578002)	(82, 37.68213075989007)	(87, 37.60671055154343)	(92, 37.662759634434714)	(97, 37.590579663833324)	(102, 37.474384866108515)	(107, 37.532165910398156)	(112, 37.61134402760912)	(117, 37.62116060586693)	(122, 37.58060970154023)	(127, 37.46707995142839)	(132, 37.4274813063207)	(137, 37.19435674570205)	(142, 37.57162395347351)	(147, 37.20084361219403)	(152, 37.06165399118042)	(157, 37.01932638844507)	(162, 36.90272895762766)	(167, 37.13995015018854)	(172, 37.200332332076435)	(177, 37.248303189109734)	(182, 37.21908353038921)	(187, 37.2814469227328)	(192, 37.241931360644216)	(197, 37.22047037770819)	(202, 36.898517287658976)	(207, 36.942302038729466)	(212, 36.37120853837796)	(217, 36.70018533904263)	(222, 36.45473892758995)	(227, 35.50974627724164)	(232, 35.60750942672717)	(237, 35.21264140090752)	(242, 35.255716750814855)	(247, 33.076091263501)	(252, 34.55569118680897)	(257, 34.49860037067809)	(262, 33.52154406595514)	(267, 33.34947274237873)	(272, 31.43182079631878)	(277, 32.30900492107113)	(282, 32.13739268184944)	(287, 32.64396701616133)	(292, 33.00315694105012)	(297, 30.43168408184484)	(300, 29.35914465915475)
GI-59_S79.R2	(1, 33.22557039688119)	(2, 33.38413114335016)	(3, 33.39911804179715)	(4, 33.421454591934555)	(5, 33.279766089346204)	(6, 36.98341535118553)	(7, 37.12727679427366)	(8, 36.69645938518566)	(9, 37.033297117658336)	(12, 37.27724164376558)	(17, 37.26867770179587)	(22, 37.054655844570846)	(27, 36.762785198440596)	(32, 36.7346647919729)	(37, 36.75427238448264)	(42, 36.57517735029079)	(47, 36.95201636096376)	(52, 37.16678596536077)	(57, 36.944692273279216)	(62, 36.740295264267914)	(67, 36.56258707739502)	(72, 36.48568415670736)	(77, 36.43694637949767)	(82, 36.413350802070696)	(87, 36.28772288617627)	(92, 36.54675017575254)	(97, 36.62866364159264)	(102, 36.124720393685685)	(107, 36.41871924330543)	(112, 36.23823736179459)	(117, 36.23201252636288)	(122, 36.35110883875503)	(127, 36.10865980699176)	(132, 35.82686137917811)	(137, 35.99035597878188)	(142, 35.82990349587781)	(147, 35.21878315332013)	(152, 34.63159072026586)	(157, 34.345919345561455)	(162, 33.89289320636544)	(167, 34.68113376366076)	(172, 34.26132805010545)	(177, 33.87697322170384)	(182, 34.061826548220104)	(187, 34.426139196012016)	(192, 33.88269316801943)	(197, 33.03962420911357)	(202, 31.826490701092858)	(207, 31.29158944206558)	(212, 31.130593724036554)	(217, 30.418009842142265)	(222, 29.424483926631307)	(227, 25.573995015018856)	(232, 25.912788393941334)	(237, 28.114865469419062)	(242, 28.34983063846105)	(247, 27.338358790822518)	(252, 25.77411005304531)	(257, 22.812948168978078)	(262, 20.918278264204)	(267, 22.18421422636927)	(272, 19.802032338467438)	(277, 21.125039943759184)	(282, 20.55169290780949)	(287, 19.097586808945938)	(292, 19.80158159725488)	(297, 22.75533549619084)	(300, 24.0806407197636)
Gl-104_S42.R1	(1, 33.86690781424544)	(2, 33.920208521729876)	(3, 33.93887972764509)	(4, 33.919463801266026)	(5, 33.95622107558913)	(6, 37.78131815522102)	(7, 37.85153465609873)	(8, 37.57295600829831)	(9, 37.52066599287196)	(12, 37.7340496834938)	(17, 37.7537315814671)	(22, 37.722304377892435)	(27, 37.73119846800362)	(32, 37.70638863769349)	(37, 37.65374753976275)	(42, 37.67668493004947)	(47, 37.691675089100485)	(52, 37.671354859301026)	(57, 37.666812064471515)	(62, 37.622799085057714)	(67, 37.289664343848074)	(72, 37.54302888451514)	(77, 37.61446885472632)	(82, 37.600585137507316)	(87, 37.524091707005695)	(92, 37.63312942177775)	(97, 37.589339858503116)	(102, 37.48980264907708)	(107, 37.41703282089473)	(112, 37.54807170594181)	(117, 37.50010106920581)	(122, 37.49335602957605)	(127, 37.30584605564126)	(132, 37.34228416405128)	(137, 37.097388158944625)	(142, 37.436289164317245)	(147, 37.20281929889888)	(152, 37.26724825788606)	(157, 37.082387361029845)	(162, 37.24618330762275)	(167, 37.11820841534124)	(172, 37.10222884195968)	(177, 37.184616202989524)	(182, 37.05992871961274)	(187, 37.067014202883136)	(192, 36.928623862971435)	(197, 36.77798819086122)	(202, 36.739326559923406)	(207, 36.669386669503695)	(212, 36.41793712431512)	(217, 36.60587265280068)	(222, 36.496271078248846)	(227, 35.75566785467312)	(232, 36.122006489706905)	(237, 36.1110378211607)	(242, 35.64527900420235)	(247, 34.54715676365764)	(252, 35.48001489440928)	(257, 35.036033831586785)	(262, 33.94678440342572)	(267, 33.924495983828926)	(272, 32.409947337624345)	(277, 31.963987446140756)	(282, 31.485980873554062)	(287, 33.31625096475436)	(292, 32.83786729847565)	(297, 30.477681701852408)	(300, 31.9543203068173)
Gl-104_S42.R2	(1, 33.02026703548061)	(2, 33.315176339166975)	(3, 33.2043725730092)	(4, 33.302782062875686)	(5, 33.285440714931646)	(6, 36.51332517687111)	(7, 36.501835204000216)	(8, 36.03702324591734)	(9, 36.31666578009469)	(12, 36.66518431831481)	(17, 36.56694505026863)	(22, 36.443491675089106)	(27, 36.55607213149635)	(32, 36.452502792701736)	(37, 36.406287568487684)	(42, 36.287632320868134)	(47, 36.331113357093464)	(52, 36.359210596308316)	(57, 36.280770253736904)	(62, 36.02432044257673)	(67, 35.040236182775686)	(72, 35.751444225756686)	(77, 35.49051545294962)	(82, 35.51525081121336)	(87, 35.121314963561886)	(92, 35.9373477312623)	(97, 35.88530240970264)	(102, 35.44281078780786)	(107, 35.31724027873823)	(112, 35.23008670673972)	(117, 35.40765998191394)	(122, 35.267461035161446)	(127, 34.79125485398159)	(132, 34.80418107346135)	(137, 34.72845364115113)	(142, 34.573881589446245)	(147, 34.34917814777382)	(152, 34.24147029097293)	(157, 33.74279482951221)	(162, 33.56430661205384)	(167, 33.485004521517105)	(172, 33.08610032448534)	(177, 32.91427203574658)	(182, 32.74490132453854)	(187, 32.133868822809724)	(192, 31.08012128304697)	(197, 30.538475450821853)	(202, 30.34295441246875)	(207, 29.415724240651098)	(212, 29.04656630671844)	(217, 29.641236235969995)	(222, 29.111314431618705)	(227, 26.10870790999521)	(232, 27.410979307409967)	(237, 27.650630352678338)	(242, 25.908644076812596)	(247, 26.667780201074528)	(252, 25.50560136177456)	(257, 23.04133198574392)	(262, 20.287547209957978)	(267, 21.754699718070107)	(272, 20.03890632480451)	(277, 19.193957125379008)	(282, 18.79104860694851)	(287, 19.65495033432755)	(292, 19.376398591012723)	(297, 20.931379262975263)	(300, 24.54156610287758)
Gl-111_S43.R1	(1, 33.8716049382716)	(2, 33.92024691358025)	(3, 33.96345679012346)	(4, 33.94469135802469)	(5, 33.96864197530864)	(6, 37.821728395061726)	(7, 37.88987654320988)	(8, 37.67012345679012)	(9, 37.63456790123457)	(12, 37.78227160493827)	(17, 37.81748148148149)	(22, 37.793876543209876)	(27, 37.78953086419753)	(32, 37.771950617283956)	(37, 37.71125925925926)	(42, 37.72775308641975)	(47, 37.714716049382716)	(52, 37.71303703703703)	(57, 37.70671604938271)	(62, 37.67051851851852)	(67, 37.56064197530864)	(72, 37.628740740740746)	(77, 37.69985185185185)	(82, 37.68019753086419)	(87, 37.599358024691355)	(92, 37.7082962962963)	(97, 37.64666666666667)	(102, 37.5602962962963)	(107, 37.55338271604938)	(112, 37.61283950617284)	(117, 37.61945679012346)	(122, 37.5759012345679)	(127, 37.483506172839505)	(132, 37.46479012345679)	(137, 37.27743209876544)	(142, 37.480888888888884)	(147, 37.38765432098766)	(152, 37.404148148148145)	(157, 37.19002469135802)	(162, 37.236790123456785)	(167, 36.85130864197531)	(172, 36.23802469135802)	(177, 36.346370370370366)	(182, 36.29940740740741)	(187, 36.41471604938271)	(192, 36.565185185185186)	(197, 36.17550617283951)	(202, 36.03896296296296)	(207, 36.02311111111111)	(212, 35.70454320987654)	(217, 35.72345679012346)	(222, 35.84666666666667)	(227, 35.20622222222222)	(232, 35.49595061728395)	(237, 35.9114074074074)	(242, 35.77437037037037)	(247, 34.05545679012346)	(252, 35.28597530864197)	(257, 34.99279012345679)	(262, 34.07111111111111)	(267, 33.94518518518518)	(272, 32.797283950617285)	(277, 32.34172839506173)	(282, 31.81041059150008)	(287, 33.63136826229606)	(292, 33.39866275049722)	(297, 30.60391711699419)	(300, 31.812473369663262)
Gl-111_S43.R2	(1, 33.13432098765432)	(2, 33.40814814814815)	(3, 33.349135802469135)	(4, 33.42641975308642)	(5, 33.364197530864196)	(6, 36.766913580246914)	(7, 36.55530864197531)	(8, 35.86617283950617)	(9, 36.48271604938272)	(12, 36.867012345679015)	(17, 36.89693827160494)	(22, 36.80316049382716)	(27, 36.85506172839506)	(32, 36.824592592592595)	(37, 36.77767901234567)	(42, 36.7363950617284)	(47, 36.73362962962963)	(52, 36.74879012345679)	(57, 36.59703703703704)	(62, 36.36350617283951)	(67, 36.0846913580247)	(72, 36.24701234567901)	(77, 36.193777777777775)	(82, 36.16691358024692)	(87, 35.96602469135802)	(92, 36.46340740740741)	(97, 36.51037037037037)	(102, 36.16064197530864)	(107, 36.034419753086425)	(112, 35.8800987654321)	(117, 36.05916049382716)	(122, 35.906518518518524)	(127, 35.65614814814815)	(132, 35.612641975308634)	(137, 35.44661728395062)	(142, 35.30113580246914)	(147, 35.229382716049386)	(152, 35.145185185185184)	(157, 34.49051851851853)	(162, 33.87111111111111)	(167, 32.849629629629625)	(172, 30.609234567901233)	(177, 30.56434567901234)	(182, 30.73046913580247)	(187, 30.479506172839507)	(192, 29.913827160493828)	(197, 29.68251851851852)	(202, 29.242716049382715)	(207, 28.959407407407404)	(212, 28.721827160493824)	(217, 28.993382716049382)	(222, 28.53753086419753)	(227, 26.275555555555552)	(232, 26.935703703703705)	(237, 28.10320987654321)	(242, 26.83832098765432)	(247, 26.5839012345679)	(252, 26.20330864197531)	(257, 23.571407407407406)	(262, 21.261382716049383)	(267, 22.579061728395065)	(272, 20.48730864197531)	(277, 19.914123456790126)	(282, 19.611312946674055)	(287, 20.268294186455048)	(292, 20.24995633704732)	(297, 21.639115342813557)	(300, 24.720472699609253)
Gl-114_S44.R1	(1, 33.89660377358491)	(2, 33.96754716981132)	(3, 33.93962264150943)	(4, 33.921509433962264)	(5, 33.96150943396226)	(6, 37.73811320754717)	(7, 37.895094339622645)	(8, 37.76452830188679)	(9, 37.83320754716981)	(12, 37.800301886792454)	(17, 37.8633962264151)	(22, 37.8508679245283)	(27, 37.79471698113207)	(32, 37.74218867924528)	(37, 37.74898113207547)	(42, 37.73464150943396)	(47, 37.716981132075475)	(52, 37.74415094339623)	(57, 37.66566037735849)	(62, 37.720754716981126)	(67, 37.75562264150943)	(72, 37.72362264150944)	(77, 37.70732075471698)	(82, 37.69071698113207)	(87, 37.64120754716981)	(92, 37.60347169811321)	(97, 37.66264150943396)	(102, 37.65403773584906)	(107, 37.58535849056604)	(112, 37.57750943396226)	(117, 37.61056603773585)	(122, 37.584150943396224)	(127, 37.599396226415095)	(132, 37.56905660377358)	(137, 37.37418867924528)	(142, 37.50369811320755)	(147, 37.5062641509434)	(152, 37.424452830188685)	(157, 37.07894339622642)	(162, 36.668528301886795)	(167, 35.34883018867925)	(172, 32.76543396226415)	(177, 33.1971320754717)	(182, 33.712150943396225)	(187, 33.95215094339623)	(192, 34.27124528301887)	(197, 33.35003773584906)	(202, 33.56528301886793)	(207, 33.48316981132076)	(212, 32.37177358490566)	(217, 32.13524528301887)	(222, 32.678792452830194)	(227, 32.502188679245286)	(232, 32.74203773584905)	(237, 34.329207547169815)	(242, 34.322716981132075)	(247, 32.459471698113205)	(252, 34.464603773584905)	(257, 34.1337358490566)	(262, 33.10083018867924)	(267, 33.551245283018865)	(272, 31.714716981132074)	(277, 31.80784905660377)	(282, 32.533692357218996)	(287, 33.753225832152665)	(292, 33.77923013093703)	(297, 30.10551673921296)	(300, 30.880262613580282)
Gl-114_S44.R2	(1, 33.61132075471698)	(2, 33.61132075471698)	(3, 33.507924528301885)	(4, 33.69509433962264)	(5, 33.63547169811321)	(6, 37.353962264150944)	(7, 37.376603773584904)	(8, 37.3411320754717)	(9, 37.474716981132076)	(12, 37.504452830188676)	(17, 37.502490566037736)	(22, 37.4045283018868)	(27, 37.36332075471698)	(32, 37.36301886792453)	(37, 37.485584905660374)	(42, 37.413132075471694)	(47, 37.17826415094339)	(52, 37.375094339622635)	(57, 37.35788679245283)	(62, 37.11441509433962)	(67, 37.29494339622642)	(72, 37.238339622641504)	(77, 37.10309433962264)	(82, 37.11743396226415)	(87, 37.06550943396226)	(92, 37.10354716981132)	(97, 37.198188679245284)	(102, 37.192603773584906)	(107, 37.1033962264151)	(112, 36.99833962264151)	(117, 36.90158490566038)	(122, 36.89811320754717)	(127, 36.89916981132075)	(132, 36.6)	(137, 36.73056603773584)	(142, 36.52784905660377)	(147, 36.557735849056606)	(152, 36.27184905660378)	(157, 35.10747169811321)	(162, 32.88543396226415)	(167, 27.769962264150944)	(172, 20.425509433962265)	(177, 21.1331320754717)	(182, 21.848603773584905)	(187, 23.196075471698116)	(192, 22.52422641509434)	(197, 23.041962264150943)	(202, 23.94898113207547)	(207, 23.305056603773586)	(212, 24.987471698113207)	(217, 24.631698113207545)	(222, 24.409811320754716)	(227, 23.556830188679246)	(232, 24.203169811320755)	(237, 26.997283018867925)	(242, 23.860679245283016)	(247, 23.01388679245283)	(252, 25.243471698113208)	(257, 22.675924528301884)	(262, 20.936452830188678)	(267, 23.72316981132075)	(272, 20.553358490566033)	(277, 19.407396226415095)	(282, 20.309130101815622)	(287, 20.565246298489868)	(292, 22.550764823704224)	(297, 22.832752981837796)	(300, 24.211927429006636)
