Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
GI-103_S80.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.003969277789906127)	(25.0, 0.009923194474765317)	(26.0, 0.015877111159624507)	(27.0, 0.08037787524559907)	(28.0, 0.1369400837517614)	(29.0, 0.08533947248298174)	(30.0, 0.030761902871772488)	(31.0, 0.03572350010915515)	(32.0, 0.050608291821303136)	(33.0, 0.053585250163732716)	(34.0, 0.021831027844483694)	(35.0, 0.007938555579812254)	(36.0, 0.0188540695020541)	(37.0, 0.038700458451584735)	(38.0, 0.14587095877905018)	(39.0, 0.2480798618691329)	(40.0, 0.10220890309008276)	(41.0, 0.026792625081866358)	(42.0, 0.031754222319249015)	(43.0, 0.006946236132335721)	(44.0, 0.031754222319249015)	(45.0, 0.029769583424295955)	(46.0, 0.2044178061801656)	(47.0, 1.107428503383808)	(48.0, 2.262488340246499)	(49.0, 1.4507710322106846)	(50.0, 11.39778117371547)	(51.0, 20.799015619107948)	(52.0, 13.142278762379291)	(53.0, 29.42326393712674)	(54.0, 17.76351042927731)	(55.0, 1.1937602953142676)	(56.0, 0.03274654176672555)	(57.0, 0.005953916684859191)	(58.0, 0.0029769583424295956)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
GI-103_S80.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0027007805255719274)	(23.0, 0.0027007805255719274)	(24.0, 0.0027007805255719274)	(25.0, 0.009002601751906423)	(26.0, 0.025207284905337985)	(27.0, 0.06391847243853561)	(28.0, 0.09452731839501743)	(29.0, 0.11523330242440223)	(30.0, 0.05491587068662918)	(31.0, 0.12153512365073674)	(32.0, 0.14404162803050286)	(33.0, 0.11073200154844902)	(34.0, 0.09902861927097066)	(35.0, 0.020705984029384773)	(36.0, 0.019805723854194133)	(37.0, 0.02790806543090991)	(38.0, 0.09722809892058938)	(39.0, 0.1251361643514993)	(40.0, 0.05131482998586662)	(41.0, 0.03691066718281634)	(42.0, 0.057616651212201116)	(43.0, 0.0468135291099134)	(44.0, 0.057616651212201116)	(45.0, 0.1467424085560748)	(46.0, 0.6508881066628359)	(47.0, 1.6987909505847432)	(48.0, 4.88301119023397)	(49.0, 3.736979987216338)	(50.0, 8.615489876574491)	(51.0, 15.461968508899071)	(52.0, 17.293097705236416)	(53.0, 25.258599735323422)	(54.0, 14.062063936477761)	(55.0, 5.392558449391938)	(56.0, 1.1082202756596806)	(57.0, 0.19445619784117876)	(58.0, 0.05131482998586662)	(59.0, 0.01080312210228771)	(60.0, 0.0027007805255719274)	(61.0, 0.008102341576715782)	(62.0, 0.0027007805255719274)	(63.0, 0.006301821226334496)	(64.0, 0.005401561051143855)	(65.0, 0.0)	(66.0, 0.0027007805255719274)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0027007805255719274)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0036010407007625697)	(77.0, 0.0036010407007625697)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0027007805255719274)	(100.0, 0.0072020814015251395)
GI-59_S79.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.012331469911213417)	(27.0, 0.07481091746136141)	(28.0, 0.09536336731338375)	(29.0, 0.06741203551463334)	(30.0, 0.006576783952647156)	(31.0, 0.05919105557382439)	(32.0, 0.05261427162117723)	(33.0, 0.018908253863860573)	(34.0, 0.062479447550147955)	(35.0, 0.024662939822426833)	(36.0, 0.04685958566261099)	(37.0, 0.02712923380466952)	(38.0, 0.02712923380466952)	(39.0, 0.11509371917132522)	(40.0, 0.10276224926011182)	(41.0, 0.04357119368628741)	(42.0, 0.041104899704044726)	(43.0, 0.1520881289049655)	(44.0, 0.9141729694179535)	(45.0, 10.681519237093244)	(46.0, 49.561821769154626)	(47.0, 26.824235448865565)	(48.0, 0.4759947385728379)	(49.0, 0.04603748766853009)	(50.0, 0.13071358105886224)	(51.0, 0.3066425517921734)	(52.0, 1.0465307464649771)	(53.0, 2.573166721473205)	(54.0, 3.015455442288719)	(55.0, 2.602762249260114)	(56.0, 0.7300230187438341)	(57.0, 0.04110489970404472)	(58.0, 0.004932587964485367)	(59.0, 0.004932587964485367)	(60.0, 0.004932587964485367)	(61.0, 0.0024662939822426835)	(62.0, 0.0024662939822426835)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
GI-59_S79.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0027932180665344282)	(23.0, 0.0027932180665344282)	(24.0, 0.0)	(25.0, 0.004189827099801643)	(26.0, 0.03142370324851232)	(27.0, 0.06564062456355906)	(28.0, 0.054467752297421346)	(29.0, 0.04469148906455085)	(30.0, 0.027233876148710673)	(31.0, 0.04469148906455084)	(32.0, 0.13407446719365265)	(33.0, 0.07471858327979593)	(34.0, 0.0803050194128648)	(35.0, 0.05726097036395576)	(36.0, 0.0698304516633607)	(37.0, 0.05097622971425331)	(38.0, 0.03701013938158117)	(39.0, 0.07262366972989512)	(40.0, 0.07681349682969676)	(41.0, 0.12290159492751491)	(42.0, 0.21996592273958604)	(43.0, 0.5041758610094652)	(44.0, 3.142370324851203)	(45.0, 24.289824306584926)	(46.0, 41.130136029719225)	(47.0, 16.448562889304164)	(48.0, 2.3386218262059515)	(49.0, 0.31214211893522226)	(50.0, 0.19133543755760826)	(51.0, 0.6061283204379714)	(52.0, 1.8700594955448129)	(53.0, 2.0718695008519283)	(54.0, 2.6507639451411706)	(55.0, 2.303706600374277)	(56.0, 0.6585011591854915)	(57.0, 0.11591854976117878)	(58.0, 0.030725398731878708)	(59.0, 0.013267785816038533)	(60.0, 0.00907795871623689)	(61.0, 0.004888131616435249)	(62.0, 0.0027932180665344282)	(63.0, 0.004189827099801643)	(64.0, 0.0020949135499008214)	(65.0, 0.0)	(66.0, 0.0020949135499008214)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0020949135499008214)	(73.0, 0.004888131616435249)	(74.0, 0.004888131616435249)	(75.0, 0.0)	(76.0, 0.0020949135499008214)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0027932180665344282)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0027932180665344282)	(93.0, 0.0027932180665344282)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-104_S42.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.05218687872763425)	(23.0, 0.06461232604373765)	(24.0, 0.03851888667992051)	(25.0, 0.12549701789264428)	(26.0, 0.031063618290258478)	(27.0, 0.1901093439363819)	(28.0, 0.27833001988071604)	(29.0, 0.15159045725646136)	(30.0, 0.05964214711729628)	(31.0, 0.0820079522862824)	(32.0, 0.12176938369781322)	(33.0, 0.05218687872763425)	(34.0, 0.1329522862823063)	(35.0, 0.3491550695825053)	(36.0, 0.4460735586481118)	(37.0, 0.10188866799204783)	(38.0, 0.4659542743538772)	(39.0, 0.827534791252486)	(40.0, 0.15407554671968207)	(41.0, 0.19880715705765437)	(42.0, 0.09940357852882711)	(43.0, 0.008697813121272375)	(44.0, 0.08076540755467204)	(45.0, 0.4684393638170976)	(46.0, 0.8585984095427454)	(47.0, 2.528578528827042)	(48.0, 3.405815109343956)	(49.0, 1.981858846918486)	(50.0, 16.81163021868789)	(51.0, 31.145626242544637)	(52.0, 9.186133200795249)	(53.0, 18.28280318091452)	(54.0, 10.421222664015932)	(55.0, 0.757952286282307)	(56.0, 0.027335984095427462)	(57.0, 0.007455268389662035)	(58.0, 0.0037276341948310177)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-104_S42.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.004551868542036499)	(21.0, 0.004551868542036499)	(22.0, 0.02275934271018249)	(23.0, 0.05462242250443798)	(24.0, 0.0648641267240201)	(25.0, 0.06714006099503834)	(26.0, 0.05348445536892886)	(27.0, 0.18207474168145996)	(28.0, 0.22759342710182498)	(29.0, 0.1684191360553505)	(30.0, 0.07055396240156572)	(31.0, 0.172971004597387)	(32.0, 0.18093677454595092)	(33.0, 0.1081068778733668)	(34.0, 0.1467977604806771)	(35.0, 0.25718057262506216)	(36.0, 0.32204469934908214)	(37.0, 0.19686831444307862)	(38.0, 0.31749283080704577)	(39.0, 0.549638126450907)	(40.0, 0.3436660749237555)	(41.0, 0.42673767581592115)	(42.0, 0.22190359142427946)	(43.0, 0.08989940370522083)	(44.0, 0.19686831444307862)	(45.0, 0.9570303609631743)	(46.0, 1.6204652009649874)	(47.0, 3.088442805771785)	(48.0, 7.114570531202926)	(49.0, 5.78883881833486)	(50.0, 12.681505758113786)	(51.0, 20.737175110382484)	(52.0, 13.282352405662836)	(53.0, 15.818881150712494)	(54.0, 9.26646638445085)	(55.0, 3.993126678501522)	(56.0, 0.8921662342391539)	(57.0, 0.18093677454595083)	(58.0, 0.03413901406527374)	(59.0, 0.018207474168145995)	(60.0, 0.011379671355091246)	(61.0, 0.011379671355091246)	(62.0, 0.006827802813054748)	(63.0, 0.003413901406527374)	(64.0, 0.0)	(65.0, 0.004551868542036499)	(66.0, 0.009103737084072997)	(67.0, 0.004551868542036499)	(68.0, 0.0)	(69.0, 0.003413901406527374)	(70.0, 0.0)	(71.0, 0.003413901406527374)	(72.0, 0.0)	(73.0, 0.004551868542036499)	(74.0, 0.004551868542036499)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.003413901406527374)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.003413901406527374)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-111_S43.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.023282887077997676)	(24.0, 0.04074505238649593)	(25.0, 0.0)	(26.0, 0.8090803259604193)	(27.0, 5.6984866123399325)	(28.0, 6.909196740395808)	(29.0, 4.359720605355068)	(30.0, 0.733410942956927)	(31.0, 0.26775320139697334)	(32.0, 0.4132712456344587)	(33.0, 0.2037252619324797)	(34.0, 0.13387660069848664)	(35.0, 0.36088474970896395)	(36.0, 0.40162980209545995)	(37.0, 0.34924330616996513)	(38.0, 1.2456344586728756)	(39.0, 2.351571594877765)	(40.0, 0.6461001164144355)	(41.0, 0.3143189755529686)	(42.0, 0.2852153667054716)	(43.0, 0.2735739231664728)	(44.0, 1.2980209545983707)	(45.0, 1.047729918509896)	(46.0, 0.9720605355064036)	(47.0, 2.345750873108265)	(48.0, 11.670547147846335)	(49.0, 7.008149010477297)	(50.0, 10.774155995343422)	(51.0, 14.61583236321305)	(52.0, 5.232828870779978)	(53.0, 8.696158323632124)	(54.0, 5.157159487776485)	(55.0, 2.6135040745052396)	(56.0, 1.4202561117578583)	(57.0, 0.8381839348079165)	(58.0, 0.4714784633294529)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.017462165308498256)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-111_S43.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.06660177263179468)	(25.0, 0.32788564987960456)	(26.0, 1.485731851016958)	(27.0, 3.8321635329678805)	(28.0, 5.051488293457654)	(29.0, 4.0832009836569565)	(30.0, 2.469388800655772)	(31.0, 1.4601157846201132)	(32.0, 1.019519442594396)	(33.0, 0.44059634202571846)	(34.0, 0.2356678108509658)	(35.0, 0.199805317895384)	(36.0, 0.2049285311747528)	(37.0, 0.21005174445412164)	(38.0, 0.8760694707720685)	(39.0, 1.5574568369281216)	(40.0, 0.5994159536861521)	(41.0, 0.6352784466417338)	(42.0, 0.6762641528766845)	(43.0, 0.5430606076130949)	(44.0, 3.263486858957945)	(45.0, 3.0636815410625595)	(46.0, 1.6547978892361284)	(47.0, 2.5257441467288295)	(48.0, 7.254470003586229)	(49.0, 7.300578923100554)	(50.0, 10.87658179210003)	(51.0, 11.224960295097112)	(52.0, 8.309851939136202)	(53.0, 7.428659255084765)	(54.0, 4.508427685844564)	(55.0, 2.9509708489164423)	(56.0, 1.7111532353091854)	(57.0, 0.8606998309339623)	(58.0, 0.5174445412162508)	(59.0, 0.2715303038065475)	(60.0, 0.17931246477790871)	(61.0, 0.07684819919053232)	(62.0, 0.015369639838106464)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.030739279676212927)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-114_S44.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.053859964093357277)	(25.0, 0.34111310592459604)	(26.0, 4.003590664272891)	(27.0, 23.62657091561939)	(28.0, 30.84380610412926)	(29.0, 15.996409335727105)	(30.0, 4.075403949730701)	(31.0, 1.400359066427289)	(32.0, 1.2028725314183122)	(33.0, 0.6822262118491921)	(34.0, 0.5565529622980251)	(35.0, 0.5565529622980251)	(36.0, 1.2567324955116697)	(37.0, 2.4236983842010775)	(38.0, 2.944344703770198)	(39.0, 2.262118491921006)	(40.0, 2.154398563734291)	(41.0, 1.2746858168761221)	(42.0, 0.718132854578097)	(43.0, 0.30520646319569117)	(44.0, 1.0233393177737882)	(45.0, 1.059245960502693)	(46.0, 0.3590664272890485)	(47.0, 0.0718132854578097)	(48.0, 0.34111310592459604)	(49.0, 0.2154398563734291)	(50.0, 0.17953321364452424)	(51.0, 0.0718132854578097)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-114_S44.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.09242144177449182)	(25.0, 0.9704251386321641)	(26.0, 6.2076401725200325)	(27.0, 17.205791743684536)	(28.0, 24.183610597658614)	(29.0, 19.60874922982129)	(30.0, 9.534812076401755)	(31.0, 5.160197165742455)	(32.0, 2.634011090573018)	(33.0, 0.539125077017869)	(34.0, 0.477510782501541)	(35.0, 0.6007393715341969)	(36.0, 0.8626001232285901)	(37.0, 0.985828712261246)	(38.0, 1.478743068391869)	(39.0, 1.4941466420209508)	(40.0, 2.002464571780656)	(41.0, 0.6931608133086886)	(42.0, 0.6469500924214429)	(43.0, 0.5391250770178689)	(44.0, 0.7547751078250166)	(45.0, 0.7547751078250166)	(46.0, 0.2310536044362295)	(47.0, 0.6007393715341969)	(48.0, 1.1706715958102294)	(49.0, 0.41589648798521306)	(50.0, 0.061614294516327876)	(51.0, 0.0)	(52.0, 0.04621072088724591)	(53.0, 0.04621072088724591)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
