Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
GI-103_S80.R1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 0.0)	(22.0, 3.0)	(23.0, 2.0)	(24.0, 9.0)	(25.0, 6.0)	(26.0, 20.0)	(27.0, 39.0)	(28.0, 44.0)	(29.0, 83.0)	(30.0, 126.0)	(31.0, 205.0)	(32.0, 351.0)	(33.0, 576.0)	(34.0, 1029.0)	(35.0, 2427.0)	(36.0, 8083.0)	(37.0, 10558.0)							
GI-103_S80.R2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 4.0)	(16.0, 16.0)	(17.0, 39.0)	(18.0, 77.0)	(19.0, 82.0)	(20.0, 131.0)	(21.0, 168.0)	(22.0, 211.0)	(23.0, 245.0)	(24.0, 279.0)	(25.0, 361.0)	(26.0, 485.0)	(27.0, 580.0)	(28.0, 824.0)	(29.0, 1207.0)	(30.0, 1691.0)	(31.0, 2492.0)	(32.0, 3636.0)	(33.0, 4836.0)	(34.0, 4282.0)	(35.0, 1764.0)	(36.0, 152.0)	(37.0, 1.0)	
GI-59_S79.R1	(19.0, 1.0)	(20.0, 3.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 7.0)	(24.0, 7.0)	(25.0, 15.0)	(26.0, 36.0)	(27.0, 59.0)	(28.0, 81.0)	(29.0, 143.0)	(30.0, 197.0)	(31.0, 296.0)	(32.0, 453.0)	(33.0, 791.0)	(34.0, 1403.0)	(35.0, 3381.0)	(36.0, 12279.0)	(37.0, 12141.0)								
GI-59_S79.R2	(14.0, 1.0)	(15.0, 3.0)	(16.0, 7.0)	(17.0, 38.0)	(18.0, 53.0)	(19.0, 92.0)	(20.0, 124.0)	(21.0, 144.0)	(22.0, 183.0)	(23.0, 226.0)	(24.0, 286.0)	(25.0, 337.0)	(26.0, 478.0)	(27.0, 609.0)	(28.0, 824.0)	(29.0, 1249.0)	(30.0, 1838.0)	(31.0, 3033.0)	(32.0, 4769.0)	(33.0, 7157.0)	(34.0, 6943.0)	(35.0, 2701.0)	(36.0, 189.0)	(37.0, 10.0)			
Gl-104_S42.R1	(19.0, 2.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 6.0)	(25.0, 10.0)	(26.0, 20.0)	(27.0, 39.0)	(28.0, 64.0)	(29.0, 88.0)	(30.0, 124.0)	(31.0, 188.0)	(32.0, 320.0)	(33.0, 507.0)	(34.0, 870.0)	(35.0, 1816.0)	(36.0, 6051.0)	(37.0, 8688.0)								
Gl-104_S42.R2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 5.0)	(16.0, 28.0)	(17.0, 53.0)	(18.0, 94.0)	(19.0, 109.0)	(20.0, 146.0)	(21.0, 176.0)	(22.0, 201.0)	(23.0, 232.0)	(24.0, 274.0)	(25.0, 341.0)	(26.0, 459.0)	(27.0, 574.0)	(28.0, 780.0)	(29.0, 1055.0)	(30.0, 1468.0)	(31.0, 2041.0)	(32.0, 2841.0)	(33.0, 3509.0)	(34.0, 2986.0)	(35.0, 1287.0)	(36.0, 136.0)	(37.0, 3.0)	
Gl-111_S43.R1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 2.0)	(25.0, 5.0)	(26.0, 3.0)	(27.0, 6.0)	(28.0, 7.0)	(29.0, 14.0)	(30.0, 25.0)	(31.0, 51.0)	(32.0, 63.0)	(33.0, 131.0)	(34.0, 213.0)	(35.0, 481.0)	(36.0, 1353.0)	(37.0, 1692.0)							
Gl-111_S43.R2	(16.0, 4.0)	(17.0, 6.0)	(18.0, 11.0)	(19.0, 22.0)	(20.0, 16.0)	(21.0, 30.0)	(22.0, 22.0)	(23.0, 33.0)	(24.0, 49.0)	(25.0, 52.0)	(26.0, 94.0)	(27.0, 107.0)	(28.0, 184.0)	(29.0, 322.0)	(30.0, 427.0)	(31.0, 463.0)	(32.0, 508.0)	(33.0, 669.0)	(34.0, 617.0)	(35.0, 347.0)	(36.0, 64.0)	(37.0, 3.0)					
Gl-114_S44.R1	(20.0, 1.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 3.0)	(25.0, 3.0)	(26.0, 0.0)	(27.0, 4.0)	(28.0, 8.0)	(29.0, 7.0)	(30.0, 16.0)	(31.0, 23.0)	(32.0, 40.0)	(33.0, 84.0)	(34.0, 167.0)	(35.0, 274.0)	(36.0, 467.0)	(37.0, 225.0)									
Gl-114_S44.R2	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 5.0)	(21.0, 1.0)	(22.0, 3.0)	(23.0, 6.0)	(24.0, 15.0)	(25.0, 14.0)	(26.0, 19.0)	(27.0, 53.0)	(28.0, 123.0)	(29.0, 277.0)	(30.0, 306.0)	(31.0, 203.0)	(32.0, 89.0)	(33.0, 45.0)	(34.0, 55.0)	(35.0, 77.0)	(36.0, 27.0)						
