Sample	Unique Reads	Duplicate Reads
GI-103_S80.R1	1737	21827
GI-103_S80.R2	2911	20653
GI-59_S79.R1	1105	30189
GI-59_S79.R2	1981	29313
Gl-104_S42.R1	1613	17186
Gl-104_S42.R2	2797	16002
Gl-111_S43.R1	929	3121
Gl-111_S43.R2	1100	2950
Gl-114_S44.R1	148	1177
Gl-114_S44.R2	154	1171
Gl-121_S45.R1	1524	20024
Gl-121_S45.R2	2889	18659
Gl-124_S46.R1	1228	19585
Gl-124_S46.R2	2591	18222
Gl-125_S47.R1	2245	46154
Gl-125_S47.R2	4691	43708
Gl-14_S2.R1	755	1639
Gl-14_S2.R2	838	1556
Gl-15_S3.R1	1858	3513
Gl-15_S3.R2	1983	3388
Gl-16_S4.R1	640	1352
Gl-16_S4.R2	702	1290
Gl-17_S5.R1	603	3002
Gl-17_S5.R2	777	2828
Gl-25_S48.R1	309	971
Gl-25_S48.R2	364	916
Gl-26_S6.R1	417	1830
Gl-26_S6.R2	460	1787
Gl-27_S7.R1	417	1610
Gl-27_S7.R2	450	1577
Gl-28_S8.R1	649	2475
Gl-28_S8.R2	826	2298
Gl-29_S9.R1	572	1352
Gl-29_S9.R2	586	1338
Gl-30_S10.R1	532	1014
Gl-30_S10.R2	584	962
Gl-31_S11.R1	922	6714
Gl-31_S11.R2	1445	6191
Gl-32_S12.R1	513	2244
Gl-32_S12.R2	723	2034
Gl-33_S13.R1	420	1056
Gl-33_S13.R2	456	1020
Gl-34_S14.R1	480	1869
Gl-34_S14.R2	506	1843
Gl-36_S15.R1	394	1427
Gl-36_S15.R2	414	1407
Gl-38_S16.R1	792	5751
Gl-38_S16.R2	1082	5461
Gl-39_S17.R1	246	440
Gl-39_S17.R2	254	432
Gl-45_S18.R1	237	803
Gl-45_S18.R2	239	801
Gl-47_S19.R1	161	1180
Gl-47_S19.R2	168	1173
Gl-51_S20.R1	228	1596
Gl-51_S20.R2	312	1512
Gl-52_S21.R1	507	4146
Gl-52_S21.R2	830	3823
Gl-53_S22.R1	171	1474
Gl-53_S22.R2	226	1419
Gl-54_S23.R1	508	2852
Gl-54_S23.R2	606	2754
Gl-56_S24.R1	841	8268
Gl-56_S24.R2	1344	7765
Gl-61_S25.R1	987	9453
Gl-61_S25.R2	1629	8811
Gl-62_S26.R1	849	8445
Gl-62_S26.R2	1287	8007
Gl-63_S27.R1	429	1462
Gl-63_S27.R2	493	1398
Gl-64_S28.R1	415	3713
Gl-64_S28.R2	672	3456
Gl-66_S29.R1	1847	20075
Gl-66_S29.R2	3074	18848
Gl-67_S30.R1	1878	6475
Gl-67_S30.R2	2333	6020
Gl-69_S31.R1	1235	15454
Gl-69_S31.R2	2181	14508
Gl-70_S32.R1	1401	20880
Gl-70_S32.R2	2886	19395
Gl-71_S33.R1	1192	12509
Gl-71_S33.R2	2091	11610
Gl-72_S34.R1	1321	18943
Gl-72_S34.R2	2705	17559
Gl-73_S35.R1	1430	22106
Gl-73_S35.R2	2795	20741
Gl-75_S36.R1	1452	27681
Gl-75_S36.R2	2657	26476
Gl-79_S37.R1	1399	16511
Gl-79_S37.R2	2366	15544
Gl-7_S1.R1	1299	16861
Gl-7_S1.R2	2367	15793
Gl-80_S38.R1	1665	26679
Gl-80_S38.R2	3120	25224
Gl-85_S39.R1	1319	31068
Gl-85_S39.R2	2746	29641
Gl-86_S40.R1	694	2243
Gl-86_S40.R2	815	2122
Gl-88_S41.R1	1307	9987
Gl-88_S41.R2	2037	9257
I10_S77.R1	1261	20260
I10_S77.R2	2492	19029
I111_S52.R1	1111	11276
I111_S52.R2	1805	10582
I113_S59.R1	1354	44091
I113_S59.R2	2834	42611
I117_S53.R1	1239	45631
I117_S53.R2	3079	43791
I11_S78.R1	2003	44911
I11_S78.R2	4552	42362
I13_S67.R1	1611	32192
I13_S67.R2	3518	30285
I14_S68.R1	394	1555
I14_S68.R2	463	1486
I15_S69.R1	1528	25968
I15_S69.R2	3073	24423
I16_S70.R1	545	6985
I16_S70.R2	1013	6517
I17_S71.R1	629	6599
I17_S71.R2	1146	6082
I18_S72.R1	295	2986
I18_S72.R2	481	2800
I19_S73.R1	253	1161
I19_S73.R2	348	1066
I24_S49.R1	1590	26676
I24_S49.R2	3195	25071
I28_S74.R1	907	3844
I28_S74.R2	1224	3527
I29_S75.R1	1220	18318
I29_S75.R2	2477	17061
I2_S60.R1	995	10900
I2_S60.R2	1747	10148
I35_S50.R1	1358	27187
I35_S50.R2	2843	25702
I36_S51.R1	1369	21263
I36_S51.R2	2770	19862
I3_S61.R1	1410	24403
I3_S61.R2	2844	22969
I4_S62.R1	725	4237
I4_S62.R2	981	3981
I50_S54.R1	1651	30639
I50_S54.R2	3520	28770
I51_S55.R1	965	13627
I51_S55.R2	1925	12667
I52_S56.R1	1591	28037
I52_S56.R2	3177	26451
I56_S57.R1	1382	21663
I56_S57.R2	3071	19974
I57_S58.R1	761	6717
I57_S58.R2	1222	6256
I5_S63.R1	1521	25859
I5_S63.R2	2938	24442
I6_S64.R1	2317	29410
I6_S64.R2	4034	27693
I7_S65.R1	280	884
I7_S65.R2	323	841
I8_S66.R1	1486	30256
I8_S66.R2	3446	28296
I9_S76.R1	116	1363
I9_S76.R2	146	1333
