Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GI-103_S80.R1	(1.0, 4.89730096757766)	(2.0, 1.8587676116109322)	(3.0, 1.4259039212357834)	(4.0, 0.7978271940247836)	(5.0, 0.4668137837379053)	(6.0, 0.4837888304192836)	(7.0, 0.2970633169241216)	(8.0, 0.407401120353081)	(9.0, 0.1909692751655067)	('>10', 6.030385333559667)	('>50', 5.9327788151417415)	('>100', 30.95399762349346)	('>500', 31.0813104736038)	('>1k', 15.175691733152266)	('>5k', 0.0)	('>10k+', 0.0)
GI-103_S80.R2	(1.0, 9.476319809879477)	(2.0, 2.5292819555253776)	(3.0, 1.4640977762688847)	(4.0, 0.8996774741130538)	(5.0, 0.615345442199966)	(6.0, 0.5856391105075539)	(7.0, 0.386182312001358)	(8.0, 0.2037005601765405)	(9.0, 0.3819385503310134)	('>10', 6.4929553556272275)	('>50', 6.951281616024444)	('>100', 30.979460193515536)	('>500', 21.711084705482943)	('>1k', 17.32303513834663)	('>5k', 0.0)	('>10k+', 0.0)
GI-59_S79.R1	(1.0, 2.246437016680514)	(2.0, 0.7860931808014315)	(3.0, 0.623122643318208)	(4.0, 0.46015210583498434)	(5.0, 0.3515050808461686)	(6.0, 0.26842206173707417)	(7.0, 0.5592126286189045)	(8.0, 0.2556400587972135)	(9.0, 0.20131654630280563)	('>10', 4.534415542915575)	('>50', 1.8981274365693104)	('>100', 11.235380584137534)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 76.58017511344028)
GI-59_S79.R2	(1.0, 4.675017575254042)	(2.0, 1.0864702498881575)	(3.0, 0.5080846168594619)	(4.0, 0.6391001469930337)	(5.0, 0.623122643318208)	(6.0, 0.47932511024477537)	(7.0, 0.492107113184636)	(8.0, 0.5368441234741483)	(9.0, 0.40263309260561125)	('>10', 5.742314820732409)	('>50', 1.4124113248546046)	('>100', 11.765833706141752)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 71.63673547644916)
Gl-104_S42.R1	(1.0, 5.8460556412575135)	(2.0, 2.159689345177935)	(3.0, 1.164955582743763)	(4.0, 0.957497739241449)	(5.0, 0.7979147827012076)	(6.0, 0.4149156870046279)	(7.0, 0.5957763710835683)	(8.0, 0.38299909569657964)	(9.0, 0.23937443481036225)	('>10', 6.186499281876696)	('>50', 6.85674769934571)	('>100', 40.99686153518804)	('>500', 26.91100590456939)	('>1k', 6.489706899303155)	('>5k', 0.0)	('>10k+', 0.0)
Gl-104_S42.R2	(1.0, 11.633597531783606)	(2.0, 2.7980211713389007)	(3.0, 1.7234959306346083)	(4.0, 1.0000531943188469)	(5.0, 0.7979147827012076)	(6.0, 0.5106654609287729)	(7.0, 0.40959625511995323)	(8.0, 0.2553327304643864)	(9.0, 0.38299909569657964)	('>10', 7.867439757433906)	('>50', 8.787701473482631)	('>100', 28.38980796850896)	('>500', 29.597319006330125)	('>1k', 5.8460556412575135)	('>5k', 0.0)	('>10k+', 0.0)
Gl-111_S43.R1	(1.0, 16.37037037037037)	(2.0, 5.08641975308642)	(3.0, 3.037037037037037)	(4.0, 1.6790123456790123)	(5.0, 1.9753086419753085)	(6.0, 1.3333333333333335)	(7.0, 1.5555555555555556)	(8.0, 1.9753086419753085)	(9.0, 1.1111111111111112)	('>10', 25.851851851851855)	('>50', 10.493827160493826)	('>100', 29.530864197530864)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-111_S43.R2	(1.0, 21.209876543209877)	(2.0, 4.592592592592593)	(3.0, 2.2222222222222223)	(4.0, 1.4814814814814816)	(5.0, 2.4691358024691357)	(6.0, 1.4814814814814816)	(7.0, 0.8641975308641975)	(8.0, 0.5925925925925926)	(9.0, 0.8888888888888888)	('>10', 25.97530864197531)	('>50', 18.691358024691358)	('>100', 19.530864197530864)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-114_S44.R1	(1.0, 7.773584905660377)	(2.0, 2.1132075471698113)	(3.0, 1.8113207547169812)	(4.0, 0.0)	(5.0, 1.1320754716981132)	(6.0, 2.7169811320754715)	(7.0, 1.5849056603773584)	(8.0, 0.6037735849056604)	(9.0, 0.6792452830188679)	('>10', 6.566037735849056)	('>50', 8.981132075471699)	('>100', 66.0377358490566)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-114_S44.R2	(1.0, 8.226415094339623)	(2.0, 2.4150943396226414)	(3.0, 0.9056603773584906)	(4.0, 1.2075471698113207)	(5.0, 1.1320754716981132)	(6.0, 1.3584905660377358)	(7.0, 2.6415094339622645)	(8.0, 0.0)	(9.0, 0.0)	('>10', 15.396226415094338)	('>50', 0.0)	('>100', 24.754716981132074)	('>500', 41.9622641509434)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
