Sample	None_mqc-generalstats-fastqc-percent_duplicates	None_mqc-generalstats-fastqc-percent_gc	None_mqc-generalstats-fastqc-avg_sequence_length	None_mqc-generalstats-fastqc-median_sequence_length	None_mqc-generalstats-fastqc-percent_fails	None_mqc-generalstats-fastqc-total_sequences
GI-103_S80.R1	92.62858597861144	51.0	300.13100492276357	301	36.36363636363637	0.023563999999999998
GI-103_S80.R2	87.64640977762689	52.0	297.95365812255983	300	45.45454545454545	0.023563999999999998
GI-59_S79.R1	96.47216718859845	46.0	299.79133380200676	300	36.36363636363637	0.031293999999999995
GI-59_S79.R2	93.669713044034	46.0	297.0595321786924	300	45.45454545454545	0.031293999999999995
Gl-104_S42.R1	91.41975637001968	50.0	300.268312144263	301	36.36363636363637	0.018799
Gl-104_S42.R2	85.12154901856482	50.0	298.4141709665408	301	45.45454545454545	0.018799
Gl-111_S43.R1	77.06172839506172	45.0	300.1024691358025	301	36.36363636363637	0.00405
Gl-111_S43.R2	72.8395061728395	45.0	297.9246913580247	300	45.45454545454545	0.00405
Gl-114_S44.R1	88.83018867924528	29.0	300.24679245283016	301	36.36363636363637	0.001325
Gl-114_S44.R2	88.37735849056604	29.0	297.87094339622644	300	45.45454545454545	0.001325
Gl-121_S45.R1	92.92741785780584	49.0	300.50691479487654	301	36.36363636363637	0.021547999999999998
Gl-121_S45.R2	86.59272322257286	49.0	298.94830146649343	301	45.45454545454545	0.021547999999999998
Gl-124_S46.R1	94.09984144525056	50.0	300.60486234564934	301	36.36363636363637	0.020812999999999998
Gl-124_S46.R2	87.55104982462883	50.0	299.14447700956134	301	45.45454545454545	0.020812999999999998
Gl-125_S47.R1	95.36147441062832	50.0	300.6000330585343	301	36.36363636363637	0.048399
Gl-125_S47.R2	90.30971714291617	50.0	299.0975846608401	301	45.45454545454545	0.048399
Gl-14_S2.R1	68.46282372598162	42.0	299.9812030075188	301	36.36363636363637	0.002394
Gl-14_S2.R2	64.99582289055974	42.0	297.80325814536343	300	36.36363636363637	0.002394
Gl-15_S3.R1	65.40681437348725	43.0	299.57419474958107	301	36.36363636363637	0.005371
Gl-15_S3.R2	63.07950102401787	43.0	297.09532675479426	300	36.36363636363637	0.005371
Gl-16_S4.R1	67.8714859437751	39.0	299.90712851405624	301	36.36363636363637	0.001992
Gl-16_S4.R2	64.75903614457832	39.0	298.0125502008032	300	45.45454545454545	0.001992
Gl-17_S5.R1	83.27323162274618	53.0	299.104854368932	301	36.36363636363637	0.0036049999999999997
Gl-17_S5.R2	78.44660194174757	53.0	298.5054091539528	301	45.45454545454545	0.0036049999999999997
Gl-25_S48.R1	75.859375	42.0	299.67890625	300	36.36363636363637	0.0012799999999999999
Gl-25_S48.R2	71.5625	42.0	295.8859375	299	36.36363636363637	0.0012799999999999999
Gl-26_S6.R1	81.44192256341789	37.0	299.9732977303071	301	36.36363636363637	0.002247
Gl-26_S6.R2	79.52825990209168	37.0	297.6261682242991	300	36.36363636363637	0.002247
Gl-27_S7.R1	79.47705969412925	33.0	300.28071040947214	301	36.36363636363637	0.0020269999999999997
Gl-27_S7.R2	77.79970399605328	33.0	297.97977306364083	300	45.45454545454545	0.0020269999999999997
Gl-28_S8.R1	79.2573623559539	44.0	300.25256081946225	301	36.36363636363637	0.003124
Gl-28_S8.R2	73.5595390524968	44.0	298.52784891165174	301	45.45454545454545	0.003124
Gl-29_S9.R1	70.27027027027027	36.0	300.00883575883574	301	36.36363636363637	0.001924
Gl-29_S9.R2	69.54261954261955	36.0	297.83471933471935	300	45.45454545454545	0.001924
Gl-30_S10.R1	65.58861578266495	37.0	300.0420439844761	301	36.36363636363637	0.0015459999999999998
Gl-30_S10.R2	62.22509702457956	37.0	297.65717981888747	300	45.45454545454545	0.0015459999999999998
Gl-31_S11.R1	87.92561550550026	47.0	300.3359088528025	301	36.36363636363637	0.0076359999999999996
Gl-31_S11.R2	81.07647983237297	46.0	298.6392090099529	301	36.36363636363637	0.0076359999999999996
Gl-32_S12.R1	81.39281828073993	42.0	299.6467174464998	301	36.36363636363637	0.002757
Gl-32_S12.R2	73.77584330794342	42.0	297.7772941603192	300	36.36363636363637	0.002757
Gl-33_S13.R1	71.54471544715447	35.0	300.0758807588076	301	36.36363636363637	0.0014759999999999999
Gl-33_S13.R2	69.17344173441734	34.0	297.6368563685637	300	45.45454545454545	0.0014759999999999999
Gl-34_S14.R1	79.56577266922095	36.0	296.48148148148147	300	36.36363636363637	0.002349
Gl-34_S14.R2	78.45891868880375	36.0	295.12771392081737	299	36.36363636363637	0.002349
Gl-36_S15.R1	78.36353651839649	36.0	299.8099945085118	301	36.36363636363637	0.001821
Gl-36_S15.R2	77.26523887973642	36.0	297.20208676551346	299	36.36363636363637	0.001821
Gl-38_S16.R1	87.89546079779917	47.0	299.9677517958123	301	36.36363636363637	0.006542999999999999
Gl-38_S16.R2	83.46324316062967	47.0	297.64756228029955	300	45.45454545454545	0.006542999999999999
Gl-39_S17.R1	64.1399416909621	35.0	299.97667638483966	301	36.36363636363637	0.000686
Gl-39_S17.R2	62.97376093294461	35.0	297.8527696793003	300	36.36363636363637	0.000686
Gl-45_S18.R1	77.21153846153847	31.0	299.78173076923076	301	36.36363636363637	0.00104
