Module	Section	Sample Name	Source
FastQC	all_sections	Gl-34_S14.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-34_S14.R1_fastqc.zip
FastQC	all_sections	I51_S55.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/I51_S55.R2_fastqc.zip
FastQC	all_sections	Gl-114_S44.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-114_S44.R2_fastqc.zip
FastQC	all_sections	I11_S78.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/I11_S78.R1_fastqc.zip
FastQC	all_sections	I52_S56.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/I52_S56.R2_fastqc.zip
FastQC	all_sections	Gl-114_S44.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-114_S44.R1_fastqc.zip
FastQC	all_sections	Gl-66_S29.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-66_S29.R1_fastqc.zip
FastQC	all_sections	Gl-72_S34.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-72_S34.R2_fastqc.zip
FastQC	all_sections	Gl-85_S39.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-85_S39.R1_fastqc.zip
FastQC	all_sections	Gl-27_S7.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-27_S7.R2_fastqc.zip
FastQC	all_sections	Gl-33_S13.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-33_S13.R2_fastqc.zip
FastQC	all_sections	I4_S62.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/I4_S62.R2_fastqc.zip
FastQC	all_sections	Gl-111_S43.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-111_S43.R1_fastqc.zip
FastQC	all_sections	Gl-86_S40.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-86_S40.R1_fastqc.zip
FastQC	all_sections	Gl-71_S33.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-71_S33.R2_fastqc.zip
FastQC	all_sections	Gl-75_S36.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-75_S36.R1_fastqc.zip
FastQC	all_sections	I9_S76.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/I9_S76.R2_fastqc.zip
FastQC	all_sections	I111_S52.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/I111_S52.R1_fastqc.zip
FastQC	all_sections	Gl-62_S26.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-62_S26.R1_fastqc.zip
FastQC	all_sections	GI-59_S79.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/GI-59_S79.R1_fastqc.zip
FastQC	all_sections	Gl-88_S41.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-88_S41.R1_fastqc.zip
FastQC	all_sections	Gl-32_S12.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-32_S12.R2_fastqc.zip
FastQC	all_sections	I5_S63.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/I5_S63.R1_fastqc.zip
FastQC	all_sections	Gl-51_S20.R1	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/Gl-51_S20.R1_fastqc.zip
FastQC	all_sections	I35_S50.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/I35_S50.R2_fastqc.zip
FastQC	all_sections	I17_S71.R2	/home/vincent/Documents/metagenomics_conakry/data/fastq/QC/I17_S71.R2_fastqc.zip
